name,type,ra,dec,magnitude
C1 ,Open Cluster ,0.74,85.3333,8.1
C2 Bow Tie Nebula ,Planetary Nebula ,0.2167,72.5333,11.6
C3 ,,12.2783,69.4667,9.7
C4 Iris Nebula ,Bright Nebula ,21.03,68.2,6.8
C5 ,Spiral Galaxy ,3.78,68.1,9.2
C6 Cat's Eye Nebula ,Planetary Nebula ,17.9767,66.6333,8.8
C7 ,Spiral Galaxy ,7.615,65.6,8.9
C8 ,Open Cluster ,1.4917,63.3,9.5
C9 Cave Nebula ,Bright Nebula ,22.9467,62.6167,7.7
C10 ,Open Cluster ,1.7667,61.25,7.1
C11 Bubble nebula ,Bright Nebula ,23.345,61.2,7
C12 ,Spiral Galaxy ,20.58,60.15,9.7
C13 Owl or E.T. Cluster ,Open Cluster ,1.3183,58.3333,6.4
C14 Double Cluster  h & chi Persei ,Open Cluster ,2.3333,57.1333,4.3
C15 Blinking Planetary ,Planetary Nebula ,19.7467,50.5167,9.8
C16 ,Open Cluster ,22.255,49.8833,6.4
C17 ,Elliptical Galaxy ,0.5533,48.5,9.3
C18 ,Elliptical Galaxy ,0.65,48.3333,9.2
C19 Cocoon Nebula ,Bright Nebula ,21.8917,47.2667,10
C20 North America Nebula ,Bright Nebula ,20.98,44.3333,6
C21 ,Irregular Galaxy ,12.47,44.1,9.4
C22 Blue Snowball ,Planetary Nebula ,23.4317,42.55,9.2
C23 ,,2.3767,42.35,9.9
C24 Perseus A ,Seyfert Galaxy ,3.33,41.5167,11.6
C25 ,Globular Cluster ,7.635,38.8833,10.4
C26 ,Spiral Galaxy ,12.2917,37.8167,10.6
C27 Crescent Nebula ,Bright Nebula ,20.2,38.35,7.5
C28 ,Open Cluster ,1.9633,37.6833,5.7
C29 ,,13.1817,37.05,9.8
C30 ,,22.6183,34.4167,9.5
C31 Flaming Star Nebula ,Bright Nebula ,5.27,34.2667,6
C32 Whale Galaxy ,Spiral Galaxy ,12.7017,32.5333,9.3
C33 East Veil Nebula ,Supernova Remnant ,20.94,31.7167,7
C34 West Veil Nebula ,Supernova Remnant ,20.7617,30.7167,7
C35 ,Elliptical Galaxy ,13.0017,27.9833,11.4
C36 ,Spiral Galaxy ,12.6,27.9667,9.8
C37 ,Open Cluster ,20.2,26.4833,5.7
C38 Needle Galaxy ,,12.605,25.9833,9.6
C39 Eskimo or Clown Nebula ,Planetary Nebula ,7.4867,20.9167,9.9
C40 ,,11.335,18.35,10.9
C41 Hyades ,Open Cluster ,4.45,16.0,1
C42 ,Globular Cluster ,21.025,16.1833,10.6
